,instance_type,model,test_train_lo_model_r2,instance_predict_r2
15,c6in.4xlarge,linear-regression,0.9326774595562652,0.819792550137311
57,m6id.large,linear-regression,0.9344636952705461,0.7971750423960385
6,m6i.large,linear-regression,0.9284758626571994,0.7690664066227212
7,m6i.large,random-forest,0.963247734821731,0.7301733166369403
17,c6in.4xlarge,lasso,0.8905725003307772,0.6060195091700431
16,c6in.4xlarge,random-forest,0.9627843978444314,0.5891742771529336
59,m6id.large,lasso,0.895254522296456,0.5866281862247767
8,m6i.large,lasso,0.885547083262728,0.5835481560432492
58,m6id.large,random-forest,0.9645519186934287,0.5050989307178405
24,hpc7g.16xlarge,linear-regression,0.9301807102693281,0.387030908320085
52,c6id.large,random-forest,0.9662538975717322,0.3564855744043258
33,c7g.large,linear-regression,0.9330357620787005,0.3051558879758547
51,c6id.large,linear-regression,0.9374971209039302,0.29247770988887534
53,c6id.large,lasso,0.8980039957143768,0.2379086518550243
25,hpc7g.16xlarge,random-forest,0.9649935373469979,0.18867421217946867
34,c7g.large,random-forest,0.9614531264135009,-0.14030270462863847
21,m7g.large,linear-regression,0.9258838196435814,-0.16908702374945994
23,m7g.large,lasso,0.8734646201104312,-0.22590016253349798
26,hpc7g.16xlarge,lasso,0.8806383926552588,-0.2559121129230988
40,m6a.large,random-forest,0.9585040834362994,-0.3244178251397105
35,c7g.large,lasso,0.888123123189375,-0.42779398869177876
22,m7g.large,random-forest,0.9625819867597132,-0.5675579358769542
3,c6i.large,linear-regression,0.9367172799396318,-0.7012153254842859
50,c7a.large,lasso,0.9104164971927482,-1.4125383202521107
49,c7a.large,random-forest,0.9715392798368155,-1.43203925185064
48,c7a.large,linear-regression,0.9419348290331161,-1.6024115899259357
37,r6a.large,random-forest,0.9586315384133343,-1.8931791098196928
5,c6i.large,lasso,0.8989088843593029,-2.9143971816553242
54,d3.xlarge,linear-regression,0.9276406510011895,-4.033379746092544
47,hpc6a.48xlarge,lasso,0.8689987224943925,-6.0336019829691265
45,hpc6a.48xlarge,linear-regression,0.9191833584370159,-6.868538333680778
38,r6a.large,lasso,0.8719322765642032,-8.09272392049101
41,m6a.large,lasso,0.8717207578594036,-8.164087086664939
46,hpc6a.48xlarge,random-forest,0.9625452189224409,-8.79208530474016
30,t3.medium,linear-regression,0.9264877136067781,-9.884006199818483
32,t3.medium,lasso,0.8853623126560015,-10.770115696689368
4,c6i.large,random-forest,0.9629750404709,-11.613207088728311
29,c6a.large,lasso,0.9003840763109934,-13.113125611791796
43,t4g.medium,random-forest,0.9631823708295066,-15.068268116291865
9,r6i.large,linear-regression,0.9317968283755158,-16.612706032577833
42,t4g.medium,linear-regression,0.9457314975435804,-17.609548697189414
56,d3.xlarge,lasso,0.8830357734348986,-18.112468483583708
20,m6g.large,lasso,0.8989815087881385,-19.152085620354427
10,r6i.large,random-forest,0.962282924459892,-19.307408804565434
28,c6a.large,random-forest,0.9644040830301713,-20.60999205492535
27,c6a.large,linear-regression,0.9495974391231824,-22.979956023428922
19,m6g.large,random-forest,0.9611821599503143,-28.829996301940415
36,r6a.large,linear-regression,0.9261236314027385,-29.052457736534482
44,t4g.medium,lasso,0.901998382731104,-34.24116899656207
39,m6a.large,linear-regression,0.9264460515263474,-34.58192469914705
55,d3.xlarge,random-forest,0.958011046806764,-34.99387206580464
31,t3.medium,random-forest,0.9560797939125711,-38.712302043346575
11,r6i.large,lasso,0.8874190600292398,-42.48606287888231
18,m6g.large,linear-regression,0.9470842122389351,-67.57010379104823
0,r7iz.large,linear-regression,0.9263935019257606,-79.0828994514478
2,r7iz.large,lasso,0.889645078306242,-100.23561769690846
1,r7iz.large,random-forest,0.9565882733568075,-150.54707052292042
12,t3a.medium,linear-regression,0.9242508817295271,-247.6222511235835
14,t3a.medium,lasso,0.8772087354064224,-318.3678756107692
13,t3a.medium,random-forest,0.9561085557041976,-369.87844414449825
