,instance_type,model,test_train_lo_model_r2,instance_predict_r2
6,c6in.4xlarge,linear-regression,0.9591515870777624,0.8176923866397489
7,c6in.4xlarge,random-forest,0.965215100778422,0.7811679985092772
46,m6id.large,random-forest,0.9674851287372871,0.7635943431052561
40,m6i.large,random-forest,0.9638502808966072,0.7322262384581676
45,m6id.large,linear-regression,0.9608722393213631,0.659558565473676
24,c6i.large,linear-regression,0.9590647349339436,0.6352710937959309
0,c7g.large,linear-regression,0.9589125118751989,0.4737330083907585
4,c6id.large,random-forest,0.9667230431392703,0.47154595447069536
47,m6id.large,lasso,0.9316803987203336,0.40437773528130616
3,c6id.large,linear-regression,0.9623714598156741,0.38779842743624926
8,c6in.4xlarge,lasso,0.9272445353686626,0.3861831280757064
12,hpc7g.16xlarge,linear-regression,0.9605892921808136,0.3758505803524339
26,c6i.large,lasso,0.927384732764861,0.24366500614339792
17,c6a.large,lasso,0.9261518590964974,0.2356338798507669
5,c6id.large,lasso,0.9259156620897285,0.23313875011322982
39,m6i.large,linear-regression,0.9559240789330685,0.21901484081665745
27,m7g.large,linear-regression,0.9560384998039322,0.1325166849046291
2,c7g.large,lasso,0.9182688516488214,-0.07715914660732204
57,r6i.large,linear-regression,0.9560399673775456,-0.11606384116839297
1,c7g.large,random-forest,0.9629152306593346,-0.18810476038945811
29,m7g.large,lasso,0.9175367877984972,-0.24901829036155876
42,c7a.large,linear-regression,0.9682862730164705,-0.4039835275938184
41,m6i.large,lasso,0.9178457392904984,-0.48486519297579966
33,t4g.medium,linear-regression,0.9594565461538906,-0.641640397933376
28,m7g.large,random-forest,0.9636503046369308,-0.6926007469374658
21,hpc6a.48xlarge,linear-regression,0.9538792712895866,-0.728115734817121
53,r6a.large,lasso,0.9119941733136625,-0.8587410850960859
14,hpc7g.16xlarge,lasso,0.9289983897183081,-0.925805974893555
44,c7a.large,lasso,0.9431434938332233,-0.9984404059995129
35,t4g.medium,lasso,0.9253769184714727,-1.2032224822956943
9,m6g.large,linear-regression,0.9576958229431617,-1.861334408966448
13,hpc7g.16xlarge,random-forest,0.9651922664537164,-2.518822330901273
36,d3.xlarge,linear-regression,0.9523130192938865,-2.926268053431986
11,m6g.large,lasso,0.924488769547412,-4.095910707477376
43,c7a.large,random-forest,0.9721899194776148,-4.7729844651111755
23,hpc6a.48xlarge,lasso,0.9139821638154416,-5.670993146016221
56,m6a.large,lasso,0.9118956852267543,-6.008836439648115
34,t4g.medium,random-forest,0.9624764680730714,-6.036776870914334
19,t3.medium,random-forest,0.9575671281084113,-6.075777974508459
25,c6i.large,random-forest,0.9652101201368662,-6.301186232802581
15,c6a.large,linear-regression,0.9624309224683002,-6.541829687768271
22,hpc6a.48xlarge,random-forest,0.9626381545583375,-7.387555966122989
18,t3.medium,linear-regression,0.955428275501347,-8.461816480654582
51,r6a.large,linear-regression,0.9527566916270322,-8.523461528357304
49,t3a.medium,random-forest,0.9569221779330881,-9.883978511437157
37,d3.xlarge,random-forest,0.9600683750097183,-11.256778081791488
31,r7iz.large,random-forest,0.9578683829191987,-12.931184877951905
55,m6a.large,random-forest,0.9591639776764018,-13.500721988963429
10,m6g.large,random-forest,0.9621347635429912,-18.45140812724304
16,c6a.large,random-forest,0.9658119403130785,-21.730509418793186
38,d3.xlarge,lasso,0.9181758558667421,-24.62755923740137
54,m6a.large,linear-regression,0.9552186807493833,-25.115719459147567
48,t3a.medium,linear-regression,0.9527798601627605,-36.455969792921366
32,r7iz.large,lasso,0.918141742626781,-43.37226658449983
50,t3a.medium,lasso,0.9066408709674839,-50.19898944683925
52,r6a.large,random-forest,0.9591636769607785,-51.575221274644655
59,r6i.large,lasso,0.9209257709416662,-57.30447225364981
20,t3.medium,lasso,0.9178214335819378,-76.75605630776158
30,r7iz.large,linear-regression,0.9544769575166056,-78.72486575266949
58,r6i.large,random-forest,0.9628735046618765,-258.25656455244433
