,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value,gpu_count,filename,iteration
0,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,fom,36.2278,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,0
1,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,waiting_time,20,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,0
2,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,instance,hpc7g.16xlarge,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,0
3,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,fom,35.8729,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,1
4,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,instance,hpc7g.16xlarge,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,1
5,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,fom,36.7843,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,2
6,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,instance,hpc7g.16xlarge,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,2
7,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,duration,15.9026,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,0
8,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,waiting_time,20,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,0
9,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,cost,0.0074353489777777785,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,0
10,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,instance,hpc7g.16xlarge,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,0
11,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,duration,16.0608,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,1
12,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,cost,0.007509316266666667,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,1
13,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,instance,hpc7g.16xlarge,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,1
14,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,duration,15.6603,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,2
15,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,cost,0.007322060266666667,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,2
16,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,instance,hpc7g.16xlarge,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,2
17,aws/fom-model/fom-model,aws,fom-model,fom-model,1,hpcg,fom-model,total_cg_iterations,750.0,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/models/data/fom-model/22/hpcg.out,0
