,feature.node.kubernetes.io/cpu-hardware_multithreading,feature.node.kubernetes.io/cpu-model.family,feature.node.kubernetes.io/cpu-model.id,feature.node.kubernetes.io/cpu-model.vendor_id,feature.node.kubernetes.io/kernel-version.full,feature.node.kubernetes.io/kernel-version.major,feature.node.kubernetes.io/kernel-version.minor,feature.node.kubernetes.io/kernel-version.revision,feature.node.kubernetes.io/system-os_release.ID,feature.node.kubernetes.io/system-os_release.VERSION_ID,feature.node.kubernetes.io/system-os_release.VERSION_ID.major,optimization,cores,threads,micro_arch,futex_waiting_ns,cpu_running_ns,cpu_waiting_ns,y_actual
hpc7g.16xlarge.cortex-a72-Og.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,64.0,1.0,Og,6530.0,116390.0,79795.0,1.04964
hpc7g.16xlarge.cortex-a72-Og.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,64.0,1.0,Og,6530.0,116390.0,79795.0,1.67923
hpc7g.16xlarge.cortex-a72-Og.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,64.0,1.0,Og,6530.0,116390.0,79795.0,0.935914
hpc7g.16xlarge.neoverse-v2-O3.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v2,64.0,1.0,O3,5958.0,134215.6666666667,129003.0,1.14236
hpc7g.16xlarge.neoverse-v2-O3.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v2,64.0,1.0,O3,5958.0,134215.6666666667,129003.0,0.78877
hpc7g.16xlarge.neoverse-v2-O3.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v2,64.0,1.0,O3,5958.0,134215.6666666667,129003.0,0.965483
hpc7g.16xlarge.cortex-x1-Og.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,64.0,1.0,Og,6594.0,98084.0,39788.0,1.08354
hpc7g.16xlarge.cortex-x1-Og.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,64.0,1.0,Og,6594.0,98084.0,39788.0,0.727279
hpc7g.16xlarge.cortex-x1-Og.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,64.0,1.0,Og,6594.0,98084.0,39788.0,0.480292
hpc7g.16xlarge.cortex-a72-O2.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,64.0,1.0,O2,6518.0,20769.0,444680.6666666667,1.66712
hpc7g.16xlarge.cortex-a72-O2.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,64.0,1.0,O2,6518.0,20769.0,444680.6666666667,1.19363
hpc7g.16xlarge.cortex-a72-O2.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,64.0,1.0,O2,6518.0,20769.0,444680.6666666667,0.899596
hpc7g.16xlarge.neoverse-n2-O0.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,64.0,1.0,O0,6215.0,5707.0,2523.875,1.98032
hpc7g.16xlarge.neoverse-n2-O0.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,64.0,1.0,O0,6215.0,5707.0,2523.875,1.11302
hpc7g.16xlarge.neoverse-n2-O0.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,64.0,1.0,O0,6215.0,5707.0,2523.875,0.607374
hpc7g.16xlarge.cortex-x1-O0.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,64.0,1.0,O0,6245.0,78588.0,49152.0,1.22838
hpc7g.16xlarge.cortex-x1-O0.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,64.0,1.0,O0,6245.0,78588.0,49152.0,1.00927
hpc7g.16xlarge.cortex-x1-O0.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,64.0,1.0,O0,6245.0,78588.0,49152.0,1.30821
hpc7g.16xlarge.cortex-a53-Os.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a53,64.0,1.0,Os,5939.0,95535.0,55215.0,0.937185
hpc7g.16xlarge.cortex-a53-Os.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a53,64.0,1.0,Os,5939.0,95535.0,55215.0,0.77928
hpc7g.16xlarge.cortex-a53-Os.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a53,64.0,1.0,Os,5939.0,95535.0,55215.0,0.739642
hpc7g.16xlarge.neoverse-n2-O2.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,64.0,1.0,O2,6555.0,107955.0,79350.0,1.4503
hpc7g.16xlarge.neoverse-n2-O2.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,64.0,1.0,O2,6555.0,107955.0,79350.0,1.2682
hpc7g.16xlarge.neoverse-n2-O2.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,64.0,1.0,O2,6555.0,107955.0,79350.0,0.870696
hpc7g.16xlarge.neoverse-n2-Ofast.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,64.0,1.0,Ofast,5742.0,132088.0,116856.0,1.43409
hpc7g.16xlarge.neoverse-n2-Ofast.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,64.0,1.0,Ofast,5742.0,132088.0,116856.0,0.717986
hpc7g.16xlarge.neoverse-n2-Ofast.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,64.0,1.0,Ofast,5742.0,132088.0,116856.0,0.429413
hpc7g.16xlarge.cortex-a57-Og.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a57,64.0,1.0,Og,6464.0,122481.77777777778,103800.0,2.17519
hpc7g.16xlarge.cortex-a57-Og.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a57,64.0,1.0,Og,6464.0,122481.77777777778,103800.0,0.572849
hpc7g.16xlarge.cortex-a57-Og.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a57,64.0,1.0,Og,6464.0,122481.77777777778,103800.0,0.537491
hpc7g.16xlarge.a64fx-Ofast.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,a64fx,64.0,1.0,Ofast,6213.0,127142.00000000001,75075.0,1.69056
hpc7g.16xlarge.a64fx-Ofast.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,a64fx,64.0,1.0,Ofast,6213.0,127142.00000000001,75075.0,1.13887
hpc7g.16xlarge.a64fx-Ofast.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,a64fx,64.0,1.0,Ofast,6213.0,127142.00000000001,75075.0,0.91243
hpc7g.16xlarge.neoverse-v1-O0.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v1,64.0,1.0,O0,6547.0,56095.0,51760.0,1.01921
hpc7g.16xlarge.neoverse-v1-O0.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v1,64.0,1.0,O0,6547.0,56095.0,51760.0,1.14721
hpc7g.16xlarge.neoverse-v1-O0.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v1,64.0,1.0,O0,6547.0,56095.0,51760.0,1.00886
hpc7g.16xlarge.native-Os.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,64.0,1.0,Os,6035.0,107232.0,70350.0,1.1643
hpc7g.16xlarge.native-Os.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,64.0,1.0,Os,6035.0,107232.0,70350.0,0.530725
hpc7g.16xlarge.native-Os.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,64.0,1.0,Os,6035.0,107232.0,70350.0,0.950546
hpc7g.16xlarge.generic-O2.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,64.0,1.0,O2,6663.0,90824.0,56088.0,1.5978
hpc7g.16xlarge.generic-O2.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,64.0,1.0,O2,6663.0,90824.0,56088.0,1.52212
hpc7g.16xlarge.generic-O2.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,64.0,1.0,O2,6663.0,90824.0,56088.0,0.814165
hpc7g.16xlarge.cortex-a57-Ofast.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a57,64.0,1.0,Ofast,6416.0,62633.0,486397.0,2.24961
hpc7g.16xlarge.cortex-a57-Ofast.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a57,64.0,1.0,Ofast,6416.0,62633.0,486397.0,0.491733
hpc7g.16xlarge.cortex-a57-Ofast.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a57,64.0,1.0,Ofast,6416.0,62633.0,486397.0,0.780515
hpc7g.16xlarge.cortex-a72-O0.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,64.0,1.0,O0,6121.0,129920.0,52100.0,0.827474
hpc7g.16xlarge.cortex-a72-O0.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,64.0,1.0,O0,6121.0,129920.0,52100.0,1.11077
hpc7g.16xlarge.cortex-a72-O0.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,64.0,1.0,O0,6121.0,129920.0,52100.0,0.717545
hpc7g.16xlarge.cortex-x1-Os.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,64.0,1.0,Os,5981.0,291724.51408585324,68554.6232510288,1.31516
hpc7g.16xlarge.cortex-x1-Os.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,64.0,1.0,Os,5981.0,291724.51408585324,68554.6232510288,0.397551
hpc7g.16xlarge.cortex-x1-Os.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,64.0,1.0,Os,5981.0,291724.51408585324,68554.6232510288,0.912216
hpc7g.16xlarge.neoverse-n1-Os.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n1,64.0,1.0,Os,6162.0,30541.0,4603.0,1.67206
hpc7g.16xlarge.neoverse-n1-Os.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n1,64.0,1.0,Os,6162.0,30541.0,4603.0,0.772183
hpc7g.16xlarge.neoverse-n1-Os.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n1,64.0,1.0,Os,6162.0,30541.0,4603.0,1.04319
hpc7g.16xlarge.a64fx-O3.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,a64fx,64.0,1.0,O3,6197.0,59658.0,47079.0,0.629495
hpc7g.16xlarge.a64fx-O3.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,a64fx,64.0,1.0,O3,6197.0,59658.0,47079.0,0.903801
hpc7g.16xlarge.a64fx-O3.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,a64fx,64.0,1.0,O3,6197.0,59658.0,47079.0,0.834199
hpc7g.16xlarge.cortex-x1-O3.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,64.0,1.0,O3,6330.0,81070.0,62085.0,1.13863
hpc7g.16xlarge.cortex-x1-O3.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,64.0,1.0,O3,6330.0,81070.0,62085.0,0.882986
hpc7g.16xlarge.cortex-x1-O3.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,64.0,1.0,O3,6330.0,81070.0,62085.0,0.844523
hpc7g.16xlarge.native-O1.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,64.0,1.0,O1,6387.0,67254.0,71940.0,1.15477
hpc7g.16xlarge.native-O1.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,64.0,1.0,O1,6387.0,67254.0,71940.0,0.77013
hpc7g.16xlarge.native-O1.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,64.0,1.0,O1,6387.0,67254.0,71940.0,0.791351
hpc7g.16xlarge.generic-O1.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,64.0,1.0,O1,6369.0,100602.0,61572.0,0.759516
hpc7g.16xlarge.generic-O1.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,64.0,1.0,O1,6369.0,100602.0,61572.0,0.567111
