,feature.node.kubernetes.io/cpu-hardware_multithreading,feature.node.kubernetes.io/cpu-model.family,feature.node.kubernetes.io/cpu-model.id,feature.node.kubernetes.io/cpu-model.vendor_id,feature.node.kubernetes.io/kernel-version.full,feature.node.kubernetes.io/kernel-version.major,feature.node.kubernetes.io/kernel-version.minor,feature.node.kubernetes.io/kernel-version.revision,feature.node.kubernetes.io/system-os_release.ID,feature.node.kubernetes.io/system-os_release.VERSION_ID,feature.node.kubernetes.io/system-os_release.VERSION_ID.major,optimization,threads,micro_arch,futex_waiting_ns,cpu_running_ns,cpu_waiting_ns,y_actual
hpc7g.16xlarge.neoverse-n2-O2.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,1.0,O2,6555.0,107955.0,79350.0,27.5348
hpc7g.16xlarge.neoverse-n2-O2.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,1.0,O2,6555.0,107955.0,79350.0,34.0497
hpc7g.16xlarge.neoverse-n2-Ofast.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,1.0,Ofast,5742.0,132088.0,116856.0,31.429
hpc7g.16xlarge.neoverse-n2-Ofast.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,1.0,Ofast,5742.0,132088.0,116856.0,34.3735
hpc7g.16xlarge.neoverse-n2-Ofast.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,1.0,Ofast,5742.0,132088.0,116856.0,34.7903
hpc7g.16xlarge.cortex-a57-Og.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a57,1.0,Og,6464.0,122481.77777777778,103800.0,28.1419
hpc7g.16xlarge.cortex-a57-Og.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a57,1.0,Og,6464.0,122481.77777777778,103800.0,35.2655
hpc7g.16xlarge.cortex-a57-Og.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a57,1.0,Og,6464.0,122481.77777777778,103800.0,35.3198
hpc7g.16xlarge.a64fx-Ofast.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,a64fx,1.0,Ofast,6213.0,127142.00000000001,75075.0,30.4624
hpc7g.16xlarge.a64fx-Ofast.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,a64fx,1.0,Ofast,6213.0,127142.00000000001,75075.0,32.5075
hpc7g.16xlarge.a64fx-Ofast.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,a64fx,1.0,Ofast,6213.0,127142.00000000001,75075.0,34.1485
hpc7g.16xlarge.neoverse-v1-O0.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v1,1.0,O0,6547.0,56095.0,51760.0,24.6371
hpc7g.16xlarge.neoverse-v1-O0.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v1,1.0,O0,6547.0,56095.0,51760.0,26.513
hpc7g.16xlarge.neoverse-v1-O0.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v1,1.0,O0,6547.0,56095.0,51760.0,26.4759
hpc7g.16xlarge.native-Os.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,1.0,Os,6035.0,107232.0,70350.0,32.2394
hpc7g.16xlarge.native-Os.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,1.0,Os,6035.0,107232.0,70350.0,34.2627
hpc7g.16xlarge.native-Os.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,1.0,Os,6035.0,107232.0,70350.0,33.6569
hpc7g.16xlarge.generic-O2.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,O2,6663.0,90824.0,56088.0,30.6636
hpc7g.16xlarge.generic-O2.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,O2,6663.0,90824.0,56088.0,27.9449
hpc7g.16xlarge.generic-O2.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,O2,6663.0,90824.0,56088.0,33.7659
hpc7g.16xlarge.cortex-a57-Ofast.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a57,1.0,Ofast,6416.0,62633.0,486397.0,27.9556
hpc7g.16xlarge.cortex-a57-Ofast.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a57,1.0,Ofast,6416.0,62633.0,486397.0,34.5415
hpc7g.16xlarge.cortex-a57-Ofast.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a57,1.0,Ofast,6416.0,62633.0,486397.0,34.061
hpc7g.16xlarge.cortex-a72-O0.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,1.0,O0,6121.0,129920.0,52100.0,24.6982
hpc7g.16xlarge.cortex-a72-O0.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,1.0,O0,6121.0,129920.0,52100.0,26.3108
hpc7g.16xlarge.cortex-a72-O0.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a72,1.0,O0,6121.0,129920.0,52100.0,26.3852
hpc7g.16xlarge.cortex-x1-Os.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,1.0,Os,5981.0,291724.51408585324,68554.6232510288,32.025
hpc7g.16xlarge.cortex-x1-Os.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,1.0,Os,5981.0,291724.51408585324,68554.6232510288,34.8103
hpc7g.16xlarge.cortex-x1-Os.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,1.0,Os,5981.0,291724.51408585324,68554.6232510288,34.1196
hpc7g.16xlarge.neoverse-n1-Os.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n1,1.0,Os,6162.0,30541.0,4603.0,29.6242
hpc7g.16xlarge.neoverse-n1-Os.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n1,1.0,Os,6162.0,30541.0,4603.0,34.0893
hpc7g.16xlarge.neoverse-n1-Os.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n1,1.0,Os,6162.0,30541.0,4603.0,34.125
hpc7g.16xlarge.a64fx-O3.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,a64fx,1.0,O3,6197.0,59658.0,47079.0,32.9168
hpc7g.16xlarge.a64fx-O3.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,a64fx,1.0,O3,6197.0,59658.0,47079.0,33.9477
hpc7g.16xlarge.a64fx-O3.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,a64fx,1.0,O3,6197.0,59658.0,47079.0,34.0711
hpc7g.16xlarge.cortex-x1-O3.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,1.0,O3,6330.0,81070.0,62085.0,32.3936
hpc7g.16xlarge.cortex-x1-O3.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,1.0,O3,6330.0,81070.0,62085.0,34.344
hpc7g.16xlarge.cortex-x1-O3.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-x1,1.0,O3,6330.0,81070.0,62085.0,34.168
hpc7g.16xlarge.native-O1.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,1.0,O1,6387.0,67254.0,71940.0,31.5218
hpc7g.16xlarge.native-O1.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,1.0,O1,6387.0,67254.0,71940.0,34.0518
hpc7g.16xlarge.native-O1.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,1.0,O1,6387.0,67254.0,71940.0,34.1209
hpc7g.16xlarge.generic-O1.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,O1,6369.0,100602.0,61572.0,33.6222
hpc7g.16xlarge.generic-O1.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,O1,6369.0,100602.0,61572.0,35.1922
hpc7g.16xlarge.generic-O1.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,O1,6369.0,100602.0,61572.0,35.5187
hpc7g.16xlarge.neoverse-v1-O1.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v1,1.0,O1,6590.0,111954.0,99426.0,31.9403
hpc7g.16xlarge.neoverse-v1-O1.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v1,1.0,O1,6590.0,111954.0,99426.0,34.1104
hpc7g.16xlarge.neoverse-v1-O1.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v1,1.0,O1,6590.0,111954.0,99426.0,34.3193
hpc7g.16xlarge.generic-Os.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,Os,5998.0,150464.88888888888,116320.0,30.5628
hpc7g.16xlarge.generic-Os.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,Os,5998.0,150464.88888888888,116320.0,30.1539
hpc7g.16xlarge.generic-Os.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,Os,5998.0,150464.88888888888,116320.0,34.8147
hpc7g.16xlarge.generic-O3.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,O3,6770.0,84836.0,52284.0,32.5777
hpc7g.16xlarge.generic-O3.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,O3,6770.0,84836.0,52284.0,34.1979
hpc7g.16xlarge.generic-O3.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,O3,6770.0,84836.0,52284.0,34.1213
hpc7g.16xlarge.cortex-a76-Ofast.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a76,1.0,Ofast,6659.0,129716.45000000001,111394.8,32.3412
hpc7g.16xlarge.cortex-a76-Ofast.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a76,1.0,Ofast,6659.0,129716.45000000001,111394.8,30.4699
hpc7g.16xlarge.cortex-a76-Ofast.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a76,1.0,Ofast,6659.0,129716.45000000001,111394.8,33.6617
hpc7g.16xlarge.cortex-a53-O2.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a53,1.0,O2,6802.0,6889.0,67679.0,32.5976
hpc7g.16xlarge.cortex-a53-O2.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a53,1.0,O2,6802.0,6889.0,67679.0,34.3096
hpc7g.16xlarge.cortex-a53-O2.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a53,1.0,O2,6802.0,6889.0,67679.0,34.2823
hpc7g.16xlarge.neoverse-v2-Ofast.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v2,1.0,Ofast,6419.0,19296.75,5245.75,32.3112
hpc7g.16xlarge.neoverse-v2-Ofast.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v2,1.0,Ofast,6419.0,19296.75,5245.75,34.045
hpc7g.16xlarge.neoverse-v2-Ofast.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-v2,1.0,Ofast,6419.0,19296.75,5245.75,34.1591
hpc7g.16xlarge.ampere1-O3.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,ampere1,1.0,O3,6256.0,62865.0,46600.0,28.7917
hpc7g.16xlarge.ampere1-O3.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,ampere1,1.0,O3,6256.0,62865.0,46600.0,34.3299
hpc7g.16xlarge.ampere1-O3.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,ampere1,1.0,O3,6256.0,62865.0,46600.0,34.252
hpc7g.16xlarge.ampere1-O2.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,ampere1,1.0,O2,6284.0,100380.0,89454.0,32.4592
hpc7g.16xlarge.ampere1-O2.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,ampere1,1.0,O2,6284.0,100380.0,89454.0,34.1434
hpc7g.16xlarge.ampere1-O2.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,ampere1,1.0,O2,6284.0,100380.0,89454.0,34.0924
hpc7g.16xlarge.cortex-a76-O0.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a76,1.0,O0,6413.0,12728.5,4171.0,24.2004
hpc7g.16xlarge.cortex-a76-O0.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a76,1.0,O0,6413.0,12728.5,4171.0,26.9693
hpc7g.16xlarge.cortex-a76-O0.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a76,1.0,O0,6413.0,12728.5,4171.0,26.9367
hpc7g.16xlarge.generic-Ofast.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,Ofast,6953.0,168818.6111111111,86103.33333333334,29.4203
hpc7g.16xlarge.generic-Ofast.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,Ofast,6953.0,168818.6111111111,86103.33333333334,35.0225
hpc7g.16xlarge.generic-Ofast.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,Ofast,6953.0,168818.6111111111,86103.33333333334,34.839
hpc7g.16xlarge.cortex-a76-O2.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a76,1.0,O2,6443.0,26820.8,9767.2,30.286
hpc7g.16xlarge.cortex-a76-O2.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a76,1.0,O2,6443.0,26820.8,9767.2,29.9951
hpc7g.16xlarge.cortex-a76-O2.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a76,1.0,O2,6443.0,26820.8,9767.2,35.2084
hpc7g.16xlarge.cortex-a53-O0.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a53,1.0,O0,6980.0,44928.0,40940.0,23.3439
hpc7g.16xlarge.cortex-a53-O0.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a53,1.0,O0,6980.0,44928.0,40940.0,27.1207
hpc7g.16xlarge.cortex-a53-O0.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,cortex-a53,1.0,O0,6980.0,44928.0,40940.0,26.5635
hpc7g.16xlarge.neoverse-n2-Og.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,1.0,Og,6969.0,11297.714285714286,3607.714285714286,29.7264
hpc7g.16xlarge.neoverse-n2-Og.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,1.0,Og,6969.0,11297.714285714286,3607.714285714286,29.5173
hpc7g.16xlarge.neoverse-n2-Og.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,neoverse-n2,1.0,Og,6969.0,11297.714285714286,3607.714285714286,35.2688
hpc7g.16xlarge.generic-O0.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,O0,6692.0,112066.0,15422.0,21.9697
hpc7g.16xlarge.generic-O0.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,O0,6692.0,112066.0,15422.0,26.4897
hpc7g.16xlarge.generic-O0.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,generic,1.0,O0,6692.0,112066.0,15422.0,27.0614
hpc7g.16xlarge.native-Og.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,1.0,Og,6538.0,50584.0,15720.0,31.9174
hpc7g.16xlarge.native-Og.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,1.0,Og,6538.0,50584.0,15720.0,34.0421
hpc7g.16xlarge.native-Og.2.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,native,1.0,Og,6538.0,50584.0,15720.0,34.0417
hpc7g.16xlarge.ampere1-O0.0.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,ampere1,1.0,O0,7115.0,6042.75,3010.75,22.2941
hpc7g.16xlarge.ampere1-O0.1.0,false,31,54273,ARM,6.1.134-152.225.amzn2023.aarch64,6,1,134,amzn,2023,2023,ampere1,1.0,O0,7115.0,6042.75,3010.75,27.2223
