,experiment,cloud,env,env_type,nodes,application,problem_size,metric,value,gpu_count,filename,iteration
7302,aws/c6in.12xlarge/cpu,aws,c6in.12xlarge,cpu,1,hpcg,x86-64-v2-Og,fom,6.954952968841858,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/hpcg-matrix/logs/hpcg/c6in.12xlarge/x86-64-v2-Og/hpcg.out,1
7303,aws/c6in.12xlarge/cpu,aws,c6in.12xlarge,cpu,1,hpcg,x86-64-v2-Og,fom,6.860964138741916,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/hpcg-matrix/logs/hpcg/c6in.12xlarge/x86-64-v2-Og/hpcg.out,2
7304,aws/c6in.12xlarge/cpu,aws,c6in.12xlarge,cpu,1,hpcg,sandybridge-Ofast,compatible,0.36743092298647856,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/hpcg-matrix/logs/hpcg/c6in.12xlarge/sandybridge-Ofast/hpcg.out,
7305,aws/c6in.12xlarge/cpu,aws,c6in.12xlarge,cpu,1,hpcg,sandybridge-Ofast,fom,6.66710758377425,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/hpcg-matrix/logs/hpcg/c6in.12xlarge/sandybridge-Ofast/hpcg.out,0
7306,aws/c6in.12xlarge/cpu,aws,c6in.12xlarge,cpu,1,hpcg,sandybridge-Ofast,fom,6.827160493827161,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/hpcg-matrix/logs/hpcg/c6in.12xlarge/sandybridge-Ofast/hpcg.out,1
7307,aws/c6in.12xlarge/cpu,aws,c6in.12xlarge,cpu,1,hpcg,sandybridge-Ofast,fom,6.786779835390947,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/hpcg-matrix/logs/hpcg/c6in.12xlarge/sandybridge-Ofast/hpcg.out,2
7308,aws/c6in.12xlarge/cpu,aws,c6in.12xlarge,cpu,1,hpcg,znver2-Og,compatible,0.36743092298647856,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/hpcg-matrix/logs/hpcg/c6in.12xlarge/znver2-Og/hpcg.out,
7309,aws/c6in.12xlarge/cpu,aws,c6in.12xlarge,cpu,1,hpcg,znver2-Og,fom,5.578226043503821,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/hpcg-matrix/logs/hpcg/c6in.12xlarge/znver2-Og/hpcg.out,0
7310,aws/c6in.12xlarge/cpu,aws,c6in.12xlarge,cpu,1,hpcg,znver2-Og,fom,6.601925338036449,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/hpcg-matrix/logs/hpcg/c6in.12xlarge/znver2-Og/hpcg.out,1
7311,aws/c6in.12xlarge/cpu,aws,c6in.12xlarge,cpu,1,hpcg,znver2-Og,fom,6.643885949441505,0,/home/vanessa/Desktop/Code/aws-performance-study/experiment/eks/cpu/hpcg-matrix/logs/hpcg/c6in.12xlarge/znver2-Og/hpcg.out,2
